pk,state,code,disc_per
1,"Andhra Pradesh",37,None
2,"Arunachal Pradesh",12,None
3,"Assam	",1,None
4,"Bihar	",10,None
5,Chhattisgarh,22,None
6,Goa,30,None
7,Gujarat,24,None
8,Haryana,6,None
9,"Himachal Pradesh",2,None
10,Jharkhand,20,None
11,Karnataka,29,None
12,Kerala,32,None
13,"Madhya Pradesh",23,None
14,Maharashtra,27,None
15,Manipur,14,None
16,Meghalaya,17,None
17,Mizoram,15,None
18,Nagaland,13,None
19,Odisha,21,None
20,Punjab,3,None
21,Rajasthan,8,None
22,Sikkim,11,None
23,"Tamil Nadu",33,None
24,Telangana,36,None
25,Tripura,16,None
26,"Uttar Pradesh",9,None
27,Uttarakhand,5,None
28,"West Bengal",19,None
